"306147,0.77,-0.14,10.67,22.05,101508.78,98.31"
"306247,0.76,-0.19,10.74,22.05,101508.61,98.33"
"306347,0.80,-0.11,10.70,22.05,101508.61,98.33"
"306447,0.72,-0.13,10.69,22.05,101508.61,98.33"
"306547,0.79,-0.12,10.73,22.05,101508.61,98.33"
"306647,0.71,-0.20,10.69,22.05,101508.45,98.34"
"306747,0.74,-0.16,10.76,22.05,101508.45,98.34"
"306846,0.78,-0.17,10.56,22.05,101508.45,98.34,4339.0376N,7926.2446W"
"306872,0.75,-0.20,10.78,22.05,101508.45,98.34"
"306971,0.73,-0.17,10.70,22.05,101508.45,98.34"
"307071,0.74,-0.17,10.74,22.05,101508.45,98.34"
"307171,0.77,-0.18,10.71,22.05,101508.30,98.35"
"307271,0.77,-0.19,10.67,22.05,101508.30,98.35"
"307371,0.75,-0.17,10.72,22.05,101508.30,98.35"
"307471,0.79,-0.14,10.74,22.05,101508.30,98.35"
"307571,0.81,-0.19,10.64,22.05,101508.30,98.35"
"307671,0.72,-0.13,10.74,22.05,101508.30,98.35"
"307771,0.77,-0.18,10.72,22.05,101508.30,98.35"
"307871,0.77,-0.20,10.73,22.05,101508.30,98.35"
"307894,0.76,-0.11,10.71,22.05,101508.30,98.35,4339.0376N,7926.2446W"
"307971,0.82,-0.21,10.65,22.05,101508.30,98.35"
"308071,0.76,-0.20,10.67,22.05,101508.30,98.35"
"308171,0.80,-0.15,10.66,22.05,101508.30,98.35"
"308271,0.77,-0.15,10.72,22.05,101508.30,98.35"
"308371,0.80,-0.14,10.74,22.05,101508.30,98.35"
"308471,0.81,-0.17,10.70,22.05,101508.30,98.35"
"308571,0.78,-0.13,10.71,22.05,101508.69,98.32"
"308671,0.81,-0.19,10.72,22.05,101508.69,98.32"
"308771,0.84,-0.17,10.71,22.05,101508.69,98.32"
"308871,0.78,-0.19,10.72,22.05,101508.69,98.32"
"308887,0.78,-0.08,10.64,22.05,101508.69,98.32,4339.0376N,7926.2446W"
"308971,0.71,-0.18,10.61,22.05,101508.69,98.32"
"309071,0.76,-0.13,10.71,22.05,101508.69,98.32"
"309171,0.75,-0.14,10.68,22.05,101508.69,98.32"
"309271,0.75,-0.14,10.65,22.05,101508.69,98.32"
"309371,0.80,-0.14,10.65,22.05,101508.69,98.32"
"309471,0.77,-0.22,10.68,22.05,101508.69,98.32"
